id,gml_id,name,latitude,longitude,created_at,updated_at,postal_code,prefecture,city,formatted_address,keyword
66,ED01_66,白浜農協前,34.90836189,139.90650716,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
67,ED01_67,名倉,34.9083304,139.90900269,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
68,ED01_68,塩浦,34.91123756,139.91749998,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
69,ED01_69,西塩浦,34.90982482,139.91420495,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
70,ED01_70,乙浜,34.9123413,139.92424335,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
71,ED01_71,地蔵前,34.91701389,139.9344446,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
72,ED01_72,白間津お花畑,34.91939177,139.93656512,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
73,ED01_73,野島埼灯台,34.90420926,139.88858691,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
74,ED01_74,青木,34.90736802,139.89208171,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
75,ED01_75,白浜町フローラルホール前,34.9040373,139.87868908,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
76,ED01_76,川下,34.90947544,139.87376388,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
77,ED01_77,小戸海岸,34.9049313,139.90193885,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
78,ED01_78,小戸,34.90737765,139.90050313,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
79,ED01_79,花の南望,34.90872791,139.8768846,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
80,ED01_80,東乙浜,34.91336381,139.92835217,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
81,ED01_81,安房塩見,34.97584307,139.81206893,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
82,ED01_82,新宿学園前,34.97539102,139.80898902,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
83,ED01_83,香谷,34.97672829,139.81622572,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
84,ED01_84,長通り,34.97809501,139.82167581,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
85,ED01_85,赤門前,34.98211067,139.84576383,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
86,ED01_86,来福寺前,34.98519595,139.86582066,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
87,ED01_87,相生橋,34.98131677,139.86296994,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
88,ED01_88,館山駅,34.99590162,139.86249402,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
89,ED01_89,農協会館前,34.99742844,139.8636952,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
90,ED01_90,安房高校前,34.99968144,139.86391024,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
91,ED01_91,浅間神社前,34.97703326,139.81936478,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
